Nhom,Uu_tien,Ten,Chuyen_ve_Ly_do_phu_hop,Khu_vuc,SDT,Email,Website,Facebook,Nguon,Trang_thai,Ghi_chu
A - Nha phan phoi/si nguyen lieu,1,THAPHACO,"Nguyên liệu nấu chè dưỡng nhan, thảo dược khô - rất gần danh mục bột sắn dây",TP.HCM,0906.35.63.35,,thaphaco.com.vn,,https://thaphaco.com.vn/cong-ty-phan-phoi-nguyen-lieu-nau-che-duong-nhan/,Chưa liên hệ,
A - Nha phan phoi/si nguyen lieu,1,Gocbansi.com,"Sỉ nguyên liệu nấu chè, 300+ mặt hàng, nhận mix sỉ từng món",TP.HCM,"0938143681 / (+84) 939038881",Hotro@Gocbansi.com,gocbansi.com,facebook.com/gocbansi,https://gocbansi.com/product/che-duong-nhan-gia-si/,Chưa liên hệ,Zalo 0938143681
A - Nha phan phoi/si nguyen lieu,1,Thanh Ngân Food,"Nguyên liệu nấu chè, trà hoa, trà thảo mộc, bột chiết xuất",Chưa rõ,0587.83.85.86,cskh.thanhnganfood@gmail.com,thanhnganfood.com,,https://thanhnganfood.com/nguyen-lieu-nau-che/,Chưa liên hệ,
A - Nha phan phoi/si nguyen lieu,1,Việt San Food,"Nông sản khô, nguyên liệu nấu chè, gia vị","85C Lê Ngung, Bình Tân, TP.HCM","0827.833.388 / 0944.590.101",,,,https://thucphamviet.net/nguyen-lieu-nau-che-gom-nhung-loai-nao-gia-bao-nhieu-mua-o-dau-hcm/,Chưa liên hệ,
A - Nha phan phoi/si nguyen lieu,1,HorecaVN,"700+ mặt hàng nguyên liệu pha chế, giá sỉ toàn miền Bắc","48 ngõ 279 Đội Cấn, Ba Đình, Hà Nội","0919.906.266 / 024.6686.9615",thuy.do@horecavn.com,horecavn.com,,https://horecavn.com/dai-ly-cung-cap-nguyen-lieu-pha-che-chinh-hang-tai-viet-nam.html,Chưa liên hệ,
A - Nha phan phoi/si nguyen lieu,1,Sao Việt Food,"Phân phối độc quyền Rich Products miền Bắc + nguyên liệu pha chế/làm bánh","Định Công, Hà Nội",024.3232.3658,,saovietfood.vn,,https://saovietfood.vn/,Chưa liên hệ,
A - Nha phan phoi/si nguyen lieu,1,Nhất An Foods,"Nguyên liệu, dụng cụ làm bánh sỉ/lẻ cho nhà hàng khách sạn","135 Nguyễn Thượng Hiền, Bình Thạnh, TP.HCM",0931.847.626,nhatanfoodsvn@gmail.com,,,https://www.yellowpages.vn/lgs/1187916138/cong-ty-tnhh-thuc-pham-nhat-an.html,Chưa liên hệ,
A - Nha phan phoi/si nguyen lieu,1,Vũ Phúc Baking,"Nguyên-phụ liệu, dụng cụ ngành bánh/pha chế cho cả vùng ĐBSCL","Cái Răng, Cần Thơ","1900 636 340 / 0919 967 645 / 0915 333 844",contact@vuphucbaking.com,vuphucbaking.com,facebook.com/vuphucbaking,https://www.vuphucbaking.com/,Chưa liên hệ,FB 22.584 lượt thích
A - Nha phan phoi/si nguyen lieu,1,Việt Tuấn Tea,"Nguyên liệu pha chế/trà giá sỉ","Thanh Xuân, Hà Nội",0947800758,admin@viettuantea.vn,viettuantea.vn,,https://viettuantea.vn/viet-tuan-nguyen-lieu-pha-che-gia-si-ha-noi/,Chưa liên hệ,SĐT cũng là số Zalo
A - Nha phan phoi/si nguyen lieu,2,Nông Sản Dũng Hà,"Đang tự bán lẻ bột sắn dây 140-150k/kg - vừa là đối thủ vừa có thể là kênh đóng gói lại",Hà Nội + TP.HCM,"0866.918.366 (CSKH) / 0385.183.683 (KD)",,nongsandungha.com,,https://nongsandungha.com/mua-bot-san-day-uy-tin-chat-luong-gia-re-tai-ha-noi-va-ho-chi-minh/,Chưa liên hệ,CẨN THẬN - đối thủ cạnh tranh trực tiếp không phải khách thường
A - Nha phan phoi/si nguyen lieu,3,Phòng chẩn trị YHCT Toàn Mỹ (lương y Nguyễn Kim Bảng),"Phố Lãn Ông - gia đình 5 đời làm nghề đông y","56 Lãn Ông, Hà Nội",,,,,https://baophapluat.vn/pho-lan-ong-khu-cho-dong-y-nuc-tieng-ha-thanh-post479326.html,Chưa liên hệ,Chưa có SĐT công khai - cần đến trực tiếp
A - Nha phan phoi/si nguyen lieu,3,Lương y Phạm Xuân Nội,"Phố Lãn Ông","69 Lãn Ông, Hà Nội",,,,,https://baophapluat.vn/pho-lan-ong-khu-cho-dong-y-nuc-tieng-ha-thanh-post479326.html,Chưa liên hệ,Chưa có SĐT công khai - cần đến trực tiếp
A - Nha phan phoi/si nguyen lieu,3,Lương y Trần Vũ Cường,"Phố Lãn Ông","45 Lãn Ông, Hà Nội",,,,,https://vietnam.vnanet.vn/vietnamese/long-form/pho-dong-nam-duoc-lan-ong-di-san-nghe-thuoc-368015.html,Chưa liên hệ,Chưa có SĐT công khai - cần đến trực tiếp. Tham khảo thêm: BS Tạ Văn Minh (số 55), lương y Nguyễn Thị Ngọc (số 58), y sỹ Đặng Quốc Khánh (số 50)
B - Quan che/tra sua,1,Chè Bốn Mùa (Hàng Cân),"Chè sắn gần 50 năm, quy mô ổn định","4 Hàng Cân, Hoàn Kiếm, Hà Nội","0984 583 333",chebonmua.1975@gmail.com,,facebook.com/che4muahangcan,https://www.vntrip.vn/cam-nang/che-ngon-ha-noi-26634,Chưa liên hệ,
B - Quan che/tra sua,1,Chè Ngọc Hiền (Chè Huế 20 Món),"Chuỗi chè cung đình lâu đời, quy mô lớn, bán xuyên Tết","67 Trần Hưng Đạo, TP Huế","0948 493 518",,,"facebook.com/p/Ngọc-Hiền_-Chè-Huế-20-Món-100063747150334",https://www.foody.vn/hue/che-ngoc-hien-che-hue-20-mon,Chưa liên hệ,
B - Quan che/tra sua,2,Chè Sắn Nóng Lý Quốc Sư,"Nổi tiếng nhất với chè sắn nóng, món chủ lực","39 Lý Quốc Sư, Hoàn Kiếm, Hà Nội (địa chỉ đã sửa)",0975 905 184,,,,https://mia.vn/cam-nang-du-lich/quan-che-nong-ha-noi-ngon-17321,Chưa liên hệ,Địa chỉ gốc ghi nhầm "Hàng Giầy" - 30 Hàng Giầy thực ra là quán bánh trôi tàu khác (098 233 55 88) không phải quán này
B - Quan che/tra sua,2,Xôi chè Bà Thìn,"Chè sắn món mùa đông chủ đạo, lượng khách lớn","1 Bát Đàn, Hoàn Kiếm, Hà Nội",0983 633 599 / 093 662 88 87,,,"Fanpage ""Xôi Chè Bà Thìn Số 1 Bát Đàn - 95 Hàng Bồ"" (chưa có URL)",https://mia.vn/cam-nang-du-lich/xoi-che-ba-thin-dia-chi-quen-thuoc-cua-cac-tin-do-me-do-ngot-tai-ha-noi-2637,Chưa liên hệ,
B - Quan che/tra sua,2,Linh Bánh Trôi Tàu & Chè Sắn Nóng,"Món tủ mùa đông, thương hiệu khu vực (tên quán đã xác định cụ thể)","54 Bạch Mai, Cầu Dền, Hai Bà Trưng, Hà Nội",,,,,https://www.foody.vn/ha-noi/linh-banh-troi-tau-che-san-nong-54-bach-mai,Chưa liên hệ,Vẫn chưa tìm được SĐT/FB - đã thử Foody/ShopeeFood/Facebook
B - Quan che/tra sua,2,Chè Thái Lệ,"Chè cung đình Huế, dùng bột sắn dây làm thạch/tạo độ sánh","116 Lê Thánh Tôn, P. Thuận Thành, TP Huế (địa chỉ đã xác nhận)",,,,,https://vinwonders.com/vi/wonderpedia/news/top-quan-che-hue-ngon-tru-danh/,Chưa liên hệ,Vẫn chưa tìm được SĐT/FB dù đã thử nhiều nguồn (Foody/ShopeeFood/GrabFood)
B - Quan che/tra sua,2,Chè Cung Đình Huế 21 Món,"Đây là tên quán thật (đã xác nhận, không phải mô tả chung), đa dạng món dùng bột sắn dây","Lê Lợi, P. Phú Hội, TP Huế",,,,,https://www.foody.vn/hue/che-cung-dinh-hue-21-mon,Chưa liên hệ,Vẫn chưa tìm được SĐT/FB dù đã thử nhiều nguồn
C - Nha SX duoc lieu/TPCN,2,Công ty CP Dược Danapha,"Sản phẩm Colitis Danapha chứa Bột Cát căn 100mg - quy mô công nghiệp","253 Dũng Sĩ Thanh Khê, Đà Nẵng","0236 375 7676",info@danapha.com,danapha.com,,https://www.danapha.com/vn/lien-he/thong-tin-lien-he.html,Chưa liên hệ,
C - Nha SX duoc lieu/TPCN,3,"Cty TNHH Y Dược Luân Thành (SX: Medistar Việt Nam)","Chủ sở hữu sản phẩm Thanh nhiệt giải độc Luân Thành, Cát căn 550mg - SĐK 4689/2021/ĐKSP",Chưa rõ,"0916893886 (kênh phân phối: Nhà thuốc Thân Thiện)",,,,https://trungtamthuoc.com/thanh-nhiet-giai-doc-luan-thanh,Chưa liên hệ,Đã xác định đúng tên cty SX/sở hữu - chưa có SĐT trực tiếp của 2 công ty này
D - Xuat khau (CHUA lien he - can ATTP truoc),4,NutriCargo LLC,"Đang bán Kudzu Root Powder, hiện nhập từ Trung Quốc",Mỹ,,,nutricargo.com,,https://www.nutricargo.com/kudzu-root-powder,Chờ ATTP,Chỉ có form liên hệ trên website. Nhu cầu đã chứng minh
D - Xuat khau (CHUA lien he - can ATTP truoc),4,Starwest Botanicals,"Tự nhận mua thảo dược trực tiếp từ nông dân 50+ nước",Mỹ,,,starwest-botanicals.com,,https://www.starwest-botanicals.com/product/kudzu-root-powder-organic/,Chờ ATTP,Chưa tìm được liên hệ trực tiếp
D - Xuat khau (CHUA lien he - can ATTP truoc),4,Mountain Rose Herbs,"Công ty thảo dược hữu cơ uy tín lâu năm","Mỹ (Oregon)",,,mountainroseherbs.com,,https://mountainroseherbs.com/kudzu-root,Chờ ATTP,Chưa tìm được liên hệ trực tiếp
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Frontier Co-op,"Hợp tác xã bán buôn sản phẩm tự nhiên/hữu cơ quy mô lớn","Mỹ (Iowa)",,,,,https://en.wikipedia.org/wiki/Frontier_Natural_Products_Co-op,Chờ ATTP,Khả năng cao yêu cầu chứng nhận hữu cơ. Chưa xác minh website chính thức
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Eden Foods,"Nhà nhập khẩu lâu đời, đã nhập kuzu từ Nhật từ 1970s","Mỹ (Michigan)",,,store.edenfoods.com,,https://en.wikipedia.org/wiki/Eden_Foods_Inc.,Chờ ATTP,Có đối tác Nhật lâu năm - ưu tiên thấp
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Shuey Shing,"Nhà bán buôn tập trung sản phẩm Việt Nam","Úc (Melbourne)",(03) 9495 0833,,shueyshing.com.au,,https://shueyshing.com.au/,Chờ ATTP,
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Big Asia Wholesale,"Bán buôn sản phẩm Việt",Úc,0402 759 925,info@bigasiasupermarket.com.au,bigasiawholesale.com.au,,https://bigasiawholesale.com.au/products/vietnamese-food/,Chờ ATTP,
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Dai Cheong Trading Co.,"Công ty gia đình 3 thế hệ từ 1979, nhập hàng Việt Nam/châu Á","Mỹ (Los Angeles)",(323) 225-1888,,daicheonginc.com,,https://daicheonginc.com/,Chờ ATTP,
D - Xuat khau (CHUA lien he - can ATTP truoc),5,OC Wholesale Food,"2000+ sản phẩm bán buôn Việt/châu Á, có danh mục Flour & Starch","Mỹ (California)",(657) 632-6494,,ocwholesalefood.com,,https://ocwholesalefood.com/,Chờ ATTP,Có form đăng ký đối tác kinh doanh
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Kim Phi Asia Food GmbH,"20+ năm kinh nghiệm nhập thực phẩm châu Á","Đức (Düsseldorf)",+49 211 239 63 47,info@kimphiasiafood.de,kimphiasiafood.de,,https://www.kimphiasiafood.de/en/startseite-en/,Chờ ATTP,
D - Xuat khau (CHUA lien he - can ATTP truoc),4,Longdan (Home of Asia),"Nhà phân phối sản phẩm Việt Nam lớn nhất Anh & Ireland",Anh,020 8556 8828,sales@longdan.co.uk,wholesale.longdan.co.uk,,https://wholesale.longdan.co.uk/pages/contact,Chờ ATTP,Lead mạnh nhất đợt mở rộng 08-13
D - Xuat khau (CHUA lien he - can ATTP truoc),4,JK Foods,"Nhà nhập khẩu thực phẩm phương Đông 45+ năm, có Việt Nam","Anh (Nottingham)",+44 7917 901777,customer.service@jkfoods.co.uk,jkfoods.co.uk,,https://jkfoods.co.uk/blog/vietnamese-food-wholesalers-in-the-uk-sourcing-quality-products,Chờ ATTP,Có trang "Register as a Trader"
D - Xuat khau (CHUA lien he - can ATTP truoc),4,Fusian,"Nhà bán buôn chuyên Việt Nam & phương Đông","Anh (London)",+44 330 088 1801,shop@fusian.co.uk,fusian.co.uk,,https://www.fusian.co.uk/,Chờ ATTP,Có "Apply for a Trade Account"
D - Xuat khau (CHUA lien he - can ATTP truoc),4,AFOD Ltd,"Nhà nhập khẩu/phân phối thực phẩm châu Á lớn toàn Canada","Canada (Richmond, BC)",604-521-8777,info@afod.ca,afodltd.com,,https://afodltd.com/,Chờ ATTP,
D - Xuat khau (CHUA lien he - can ATTP truoc),4,Dong Phuong Distributor,"Chuyên biệt sản phẩm Việt Nam","Canada (Edmonton)",780-447-2883,info@dpdistributor.com,dpdistributor.com,,https://dpdistributor.com/,Chờ ATTP,
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Tang Freres,"Chuỗi siêu thị/nhà nhập khẩu châu Á lâu đời nhất Pháp",Pháp,,,tang-freres.fr,,https://www.tang-freres.fr/,Chờ ATTP,Chỉ có form liên hệ chung - chưa lấy được liên hệ trực tiếp
D - Xuat khau (CHUA lien he - can ATTP truoc),5,Nishimoto Trading Co.,"Nhà nhập khẩu/phân phối thực phẩm châu Á tổng hợp",Nhật Bản,,,,,https://en.wikipedia.org/wiki/Nishimoto_Trading_Co.,Chờ ATTP,Chưa tìm được kênh nhà cung cấp. Nhật/Hàn kết quả yếu - xem ghi chú định vị trong file .md
E - B2C kieu bao (co the thu truoc Nhom D),2,Lê Gia Express,"Dịch vụ ký gửi cá nhân đi Mỹ - đã gửi bột sắn dây thật",Mỹ,"092 555 7986","135 Bạch Đằng, Tân Bình, TP.HCM (địa chỉ)",legiaexpress.com,,https://legiaexpress.com,Chưa liên hệ,Đã có dịch vụ gửi bột sắn dây đi Mỹ
E - B2C kieu bao (co the thu truoc Nhom D),2,Bình Phước Logistics,"Dịch vụ ký gửi cá nhân đi Mỹ - đã gửi bột sắn dây thật",Mỹ,0901 494 677,,binhphuoclogistics.com,,https://binhphuoclogistics.com,Chưa liên hệ,
E - B2C kieu bao (co the thu truoc Nhom D),1,Chợ Việt Tại Nhật,"Cửa hàng Việt thật tại Nhật, bán thực phẩm/đặc sản","Gyoda-shi, Saitama, Nhật",,,,facebook.com/chovietnamnhatban,facebook.com/chovietnamnhatban,Chưa liên hệ,Ưu tiên thử đầu tiên - rủi ro hải quan thấp nhất
E - B2C kieu bao (co the thu truoc Nhom D),1,Cửa Hàng Việt Nam tại Nhật Bản,"Bán đồ tươi/đông lạnh/khô/gia vị Việt",Nhật Bản,,,,facebook.com/CuaHangVietNamtaiNhatBan,facebook.com/CuaHangVietNamtaiNhatBan,Chưa liên hệ,
E - B2C kieu bao (co the thu truoc Nhom D),1,Xuân Shop Việt Nhật,"Bán lẻ giá gần bằng giá sỉ","Yokohama, Nhật",,,,facebook.com/xuanshopvietnhatyokohama,facebook.com/xuanshopvietnhatyokohama,Chưa liên hệ,
E - B2C kieu bao (co the thu truoc Nhom D),3,Đồng Xuân Center,"400+ gian hàng, >60% tiểu thương gốc Việt - thủ phủ người Việt tại Đức","Berlin, Đức",,,,,https://hanoimoi.vn,Chưa liên hệ,Chợ lớn cần đến trực tiếp - chưa có danh sách liên hệ
E - B2C kieu bao (co the thu truoc Nhom D),3,Tamda Foods/Group,"Nhà phân phối lớn, có quy trình đăng ký nhà cung cấp","Séc & châu Âu",+420 222 132 119,,tamdafoods.eu,,https://tamdafoods.eu,Chưa liên hệ,
F - Dich vu do an cu,1,Hera Care,"Trung tâm chăm sóc mẹ&bé, bếp dinh dưỡng riêng, 3 bữa chính+1 phụ/ngày","Quận 1, TP.HCM","0565 419 999 / 0898 658 986",,,,https://vnexpress.net/hera-care-trung-tam-o-cu-cho-me-va-be-so-sinh-4896998.html,Chưa liên hệ,
F - Dich vu do an cu,1,Family Maid,"Trung tâm chăm sóc mẹ&bé, có mâm cơm cữ hàng ngày",TP.HCM,0932 050 651,,familymaid.vn,,https://familymaid.vn/dich-vu/o-cu-sau-sinh/,Chưa liên hệ,
F - Dich vu do an cu,1,Thu Cúc TCI,"Bệnh viện, gói ở cữ nghỉ dưỡng có cơm cữ do chuyên gia dinh dưỡng thiết kế","Tây Hồ + Trần Duy Hưng + Đại Từ (Hà Nội), Hải Phòng",1900 558 892,,benhvienthucuc.vn,,https://benhvienthucuc.vn/dich-vu-khoa-san/o-cu-nghi-duong/goi-o-cu-nghi-duong-tci-cho-me-va-be,Chưa liên hệ,
